UNIQUE_CARRIER_ENTITY,CARRIER_NAME,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,REGION,AIRLINE_ID
6673,JetBlue Airways,B6,3,3,D,20409
1006,Virgin America,VX,3,3,D,21171
1006,Virgin America,VX,3,3,D,21171
1126,Tradewind Aviation,04Q,1,6,D,21080
6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,1,5,D,20354
6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,1,5,D,20354
6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,1,5,D,20354
6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,1,5,D,20354
6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,1,5,D,20354
6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,1,5,D,20354
6055,Ameristar Air Cargo,AMQ,1,4,D,20201
6055,Ameristar Air Cargo,AMQ,1,4,D,20201
6035,Allegiant Air,G4,3,3,D,20368
6035,Allegiant Air,G4,3,3,D,20368
1150,Avjet Corporation,0WQ,1,1,D,21352
1150,Avjet Corporation,0WQ,1,1,D,21352
1150,Avjet Corporation,0WQ,1,1,D,21352
1150,Avjet Corporation,0WQ,1,1,D,21352
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
6690,Miami Air International,GL,2,2,D,20402
6690,Miami Air International,GL,2,2,D,20402
6690,Miami Air International,GL,2,2,D,20402
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
10877,United Air Lines Inc.,UA,3,3,P,19977
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
11033,Southwest Airlines Co.,WN,3,3,L,19393
1194,"Jet Aviation Flight Services, Inc.",27Q,1,1,D,21652
1194,"Jet Aviation Flight Services, Inc.",27Q,1,1,D,21652
1194,"Jet Aviation Flight Services, Inc.",27Q,1,1,D,21652
1194,"Jet Aviation Flight Services, Inc.",27Q,1,1,D,21652
1194,"Jet Aviation Flight Services, Inc.",27Q,1,1,D,21652
1194,"Jet Aviation Flight Services, Inc.",27Q,1,1,D,21652
16736,Omni Air International LLC,X9,2,2,I,20377
1130,"Swift Air, LLC",09Q,1,1,D,21161
1130,"Swift Air, LLC",09Q,1,1,D,21161
1130,"Swift Air, LLC",09Q,1,1,D,21161
1130,"Swift Air, LLC",09Q,1,1,D,21161
1130,"Swift Air, LLC",09Q,1,1,D,21161
