DEST,DEST_CITY_NAME
DEN,"Denver, CO"
SFO,"San Francisco, CA"
DEN,"Denver, CO"
APA,"Denver, CO"
DIK,"Dickinson, ND"
ISN,"Williston, ND"
DEN,"Denver, CO"
STL,"St. Louis, MO"
EGE,"Eagle, CO"
EGE,"Eagle, CO"
DEN,"Denver, CO"
GSP,"Greer, SC"
VCV,"Victorville, CA"
COS,"Colorado Springs, CO"
BUR,"Burbank, CA"
EGE,"Eagle, CO"
BUR,"Burbank, CA"
ASE,"Aspen, CO"
PHX,"Phoenix, AZ"
DEN,"Denver, CO"
COS,"Colorado Springs, CO"
DEN,"Denver, CO"
DEN,"Denver, CO"
ATL,"Atlanta, GA"
DFW,"Dallas/Fort Worth, TX"
DEN,"Denver, CO"
ATL,"Atlanta, GA"
ATL,"Atlanta, GA"
ATL,"Atlanta, GA"
CVG,"Cincinnati, OH"
DTW,"Detroit, MI"
FSD,"Sioux Falls, SD"
LAS,"Las Vegas, NV"
SAN,"San Diego, CA"
SLC,"Salt Lake City, UT"
DEN,"Denver, CO"
DEN,"Denver, CO"
DEN,"Denver, CO"
DEN,"Denver, CO"
DEN,"Denver, CO"
DEN,"Denver, CO"
YIP,"Detroit, MI"
COS,"Colorado Springs, CO"
DEN,"Denver, CO"
CLE,"Cleveland, OH"
JAN,"Jackson/Vicksburg, MS"
LAX,"Los Angeles, CA"
MIA,"Miami, FL"
RIC,"Richmond, VA"
DEN,"Denver, CO"
SFO,"San Francisco, CA"
DEN,"Denver, CO"
DEN,"Denver, CO"
DEN,"Denver, CO"
COS,"Colorado Springs, CO"
BUF,"Buffalo, NY"
CRP,"Corpus Christi, TX"
ECP,"Panama City, FL"
GPT,"Gulfport/Biloxi, MS"
GSP,"Greer, SC"
LBB,"Lubbock, TX"
LIT,"Little Rock, AR"
COS,"Colorado Springs, CO"
DEN,"Denver, CO"
AUS,"Austin, TX"
ORD,"Chicago, IL"
SJC,"San Jose, CA"
APA,"Denver, CO"
APA,"Denver, CO"
ASE,"Aspen, CO"
LAS,"Las Vegas, NV"
DEN,"Denver, CO"
DEN,"Denver, CO"
OAK,"Oakland, CA"
PTK,"Pontiac, MI"
SLC,"Salt Lake City, UT"
GJT,"Grand Junction, CO"
ENV,"Wendover, UT"
DEN,"Denver, CO"
